subject,predicate,object,valid_from,valid_to,source_document,source_clause,version
investor:6385_54462,rdf:type,LP,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,name,Vanford Investment Pte Ltd,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,invests_in,entity:2254,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,target_account_id,17951,2021-11-30,,Investors List (Corvus),,v1
investor:6385_54462,commitment,27830000.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,commitment_share,0.154612,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,called_31mar2026,18089500.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,unfunded_31mar2026,9740500.0,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,mgmt_fee_rate_pa,0.01,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,fee_basis,Commitment,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,fee_inside_commitment,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,fee_offset_pct,0.8,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,fee_exempt,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,mfn,N,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,cas_deadline_days,60,2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
investor:6385_54462,notices_contact,Investor of record (subscription form),2021-11-30,,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",v1
