investor_id,investor_account_id,investor_name,investor_type,commitment,commitment_share,observed_q2_share,share_diff,called_31mar2026,unfunded_31mar2026,mgmt_fee_rate_pa,fee_basis,fee_inside_commitment,fee_offset_pct,fee_exempt,mfn,cas_deadline_days,notices_contact,notices_email,source_document,source_clause,valid_from,valid_to,version
6385_54462,17951.0,Vanford Investment Pte Ltd,LP,27830000.0,0.154612,0.154614,-2e-06,18089500.0,9740500.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
4051_19550,36914.0,Cantley Thurford Trentfield Lanbeck Yardgarth,LP,27760000.0,0.154223,0.154224,-1e-06,18044000.0,9716000.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
3858_92723,69354.0,CIK Investment Wickdale Private Holdings (4) Inc.,LP,21103000.0,0.11724,0.117239,1e-06,13716950.0,7386050.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
6247_11149,51374.0,NUV16SUN Penmont Ltd.,LP,16900000.0,0.093889,0.093891,-1e-06,10985000.0,5915000.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
4108_63195,91012.0,Thurford of Davgarth Investment Wickdale,LP,14959000.0,0.083106,0.083105,1e-06,9723350.0,5235650.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
7335_02891,18550.0,Trentcombe Fund Investors LLC,LP,13916000.0,0.077312,0.077308,3e-06,9045400.0,4870600.0,0.0085,Commitment,Y,0.8,N,Y,60,"Morgan Ashby, Fund Operations",m.ashby@trentcombe-fi.example,Side letter SL-TRENTCOMBE-2024-01 dated 2024-03-15,"2(a), 2(b), 4",2024-03-15,,v1
4130_22337,99927.0,Selstead TUW-Zellley,LP,10200000.0,0.056667,0.056666,1e-06,6630000.0,3570000.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
4324_22834,10213.0,"Oakbeck Investments Private Equity Fund, L.P.",LP,7034000.0,0.039078,0.039079,-1e-06,4572100.0,2461900.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
5719_43500,35124.0,"Eddwick Co-Investment Holdings V, L.P.",LP,7034000.0,0.039078,0.039079,-1e-06,4572100.0,2461900.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
0386_00038,34016.0,Thurford Wrenmere Steenvale Limited as covwold of Lindcombe Lanbeck NODE,LP,6958000.0,0.038656,0.038654,2e-06,4522700.0,2435300.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
2215_32092,19002.0,Clanfield Lanbeck Yardgarth of Ostdale,LP,6958000.0,0.038656,0.038654,2e-06,4522700.0,2435300.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
6250_22863,15210.0,Innfield Brinbeck Global Private Equity LP,LP,5275000.0,0.029306,0.029307,-2e-06,3428750.0,1846250.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
0203_02361,68252.0,NUV16CIL Penmont Ltd.,LP,3974000.0,0.022078,0.022075,3e-06,2583100.0,1390900.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
5160_94021,55751.0,"Zellworth Capital, a VEJ of Zellworth Family Holdings, LLC, a Cantley limited liability company",LP,2813000.0,0.015628,0.01563,-2e-06,1828450.0,984550.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
5210_59843,43545.0,"Nethbury Norvale Private Equity Fund, FEL",LP,2462000.0,0.013678,0.013678,0.0,1600300.0,861700.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
3009_03432,66531.0,Renberg Grenshaw Oakwold Yardgarth,LP,2462000.0,0.013678,0.013678,0.0,1600300.0,861700.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
3165_39026,76819.0,VAX Norvale Holdings LP,LP,1306000.0,0.007256,0.007258,-2e-06,848900.0,457100.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
3043_04282,44274.0,Renberg Grenshaw Norstead Umbholm and NODE,LP,1055000.0,0.005861,0.005861,-0.0,685750.0,369250.0,0.01,Commitment,N,0.8,N,N,60,Investor of record (subscription form),n/a,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1, 8.3, 8.5, 12.2",2021-11-30,,v1
GP,,Kestrel Lammwick GP LLC,GP,0.0,0.0,,,0.0,0.0,0.0,n/a,n/a,,Y,N,60,Kestrel Capital Investor Relations,ir@kestrelcap.example,LPA key terms schedule - Kestrel Lammwick Co-Invest LP (extract),"8.1(c), 12.2",2021-11-30,,v1
